WARDS,War_Code,Cattle_2014,Sheep_2014,Pigs_2014,Poultry_2014,Cattle_2013,Sheep_2013,Pigs_2013,Poultry_2013,Cattle_2012,Sheep_2012,Pigs_2012,Poultry_2012,Cattle_2011,Sheep_2011,Pigs_2011,Poultry_2011,Cattle_2010,Sheep_2010,Pigs_2010,Poultry_2010,Cattle_2009,Sheep_2009,Pigs_2009,Poultry_2009,Cattle_2008,Sheep_2008,Pigs_2008,Poultry_2008,Cattle_2007,Sheep_2007,Pigs_2007,Poultry_2007,Cattle_2006,Sheep_2006,Pigs_2006,Poultry_2006,Cattle_2005,Sheep_2005,Pigs_2005,Poultry_2005,Cattle_2004,Sheep_2004,Pigs_2004,Poultry_2004,Cattle_2003,Sheep_2003,Pigs_2003,Poultry_2003,Cattle_2002,Sheep_2002,Pigs_2002,Poultry_2002,Cattle_2001,Sheep_2001,Pigs_2001,Poultry_2001,Cattle_2000,Sheep_2000,Pigs_2000,Poultry_2000,Cattle_1999,Sheep_1999,Pigs_1999,Poultry_1999
ABBEY,95WW01,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABBEY PARK,95CC01,379,81,0,0,373,81,0,0,383,124,0,0,405,124,0,0,340,124,0,0,305,124,0,0,350,124,0,0,84,98,0,0,105,112,0,0,168,0,0,50,199,0,0,0,278,0,0,0,337,0,0,0,270,0,0,0,203,0,0,0,250,0,0,0
ACADEMY,95DD01,3,3,3,3,3,3,3,3000,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGHAGALLON,95LL01,8951,352,1255,78192,8959,306,1271,77052,8894,187,1213,66500,8317,136,1146,135054,8351,133,1107,68570,7915,202,1158,32070,8166,228,1167,101120,6287,2475,1154,51830,6458,2589,1119,78732,8905,321,1026,88020,9549,414,1153,139503,9848,477,1037,138027,9003,670,1221,89937,9313,668,1206,65637,4095,684,2251,116025,9189,698,0,73125
AGHANLOO,95RR01,5734,14694,0,0,5913,14817,0,0,6474,15855,0,0,6396,15570,0,1,6332,14748,30,0,5950,15806,50,0,5812,16532,63,6000,3044,19534,54,0,3062,20426,3,11076,6412,20608,50,1264,6270,22686,50,3000,6359,22476,36,3000,6513,24506,575,323,6472,25817,234,831,6032,25960,0,0,6260,28859,0,138
AGIVEY,95JJ01,11626,7694,150,0,11463,6911,0,0,11507,7350,4,4,12012,7378,140,1,12255,7090,195,0,11544,7241,430,2140,11435,8380,492,2020,7660,8448,1964,120,8099,8624,2070,38,11602,7920,3,54,11966,8195,3,36,12206,7533,0,3000,12165,8189,8,22843,12278,8495,45,19339,12060,9470,68,13347,12159,11277,1763,115886
AHOGHILL,95DD02,1470,1246,466,0,1291,1233,421,0,1091,1323,400,0,1179,1269,614,0,1108,1138,315,0,1907,1059,304,32400,1650,1083,187,10800,2093,1305,0,12000,2015,1338,0,1,2126,2271,237,129814,2112,2321,208,127920,2128,2119,485,192912,1809,2213,318,195430,2050,2767,365,173941,1869,2995,0,0,1832,1912,951,0
ALDERGROVE,95AA01,10652,10931,1104,162710,11098,9912,854,159400,11186,9409,1009,149500,11700,9472,824,134484,11828,8895,1116,98700,11025,9595,1005,76290,11581,9952,852,145900,10165,9720,439,152720,9998,10335,265,115291,11254,11985,1304,147872,10935,13170,1996,237336,11413,13128,2187,244085,11423,13879,1571,89598,11346,16069,2234,109118,11850,16530,2461,107806,11684,18652,2736,98667
ALTMORE,95OO01,9160,3681,5201,569057,8826,3268,4958,575610,8533,3062,6414,538484,8518,2824,5346,437873,8887,2623,5845,454960,9569,2902,31659,352200,9528,2806,7931,384210,13529,6646,3711,934330,13053,7118,3606,742646,10704,4044,3270,463463,10798,4128,3535,428065,10777,4049,3248,433842,10443,3764,2609,202075,11088,5065,2842,247120,10034,5434,2896,215131,10780,5976,4119,202248
ALTNAGELVIN,95MM01,166,893,0,0,240,806,0,0,277,840,0,0,241,878,0,0,328,703,0,0,194,776,0,0,182,716,0,0,427,400,87,0,548,264,61,0,104,717,0,0,168,747,0,0,130,845,0,0,143,1234,0,0,163,1305,0,0,0,1545,0,0,202,1979,0,0
